"Nombre del Director"
"Frank Darabont"
"Francis Ford Coppola"
"Christopher Nolan"
"Francis Ford Coppola"
"Sidney Lumet"
"Steven Spielberg"
"Peter Jackson"
"Quentin Tarantino"
"Peter Jackson"
"Sergio Leone"
"Robert Zemeckis"
"David Fincher"
"Peter Jackson"
"Christopher Nolan"
"Irvin Kershner"
"Lana Wachowski"
"Martin Scorsese"
"Milos Forman"
"David Fincher"
"Frank Capra"
"Akira Kurosawa"
"Christopher Nolan"
"Jonathan Demme"
"Steven Spielberg"
"Fernando Meirelles"
"Roberto Benigni"
"Joaquim Dos Santos"
"Frank Darabont"
"George Lucas"
"James Cameron"
"Robert Zemeckis"
"Hayao Miyazaki"
"Roman Polanski"
"Alfred Hitchcock"
"Bong Joon Ho"
"Ridley Scott"
"Roger Allers"
"Luc Besson"
"Tony Kaye"
"Martin Scorsese"
"Damien Chazelle"
"Christopher Nolan"
"Bryan Singer"
"Isao Takahata"
"Masaki Kobayashi"
"Michael Curtiz"
"Olivier Nakache"
"Charles Chaplin"
"Giuseppe Tornatore"
"Sergio Leone"
"Alfred Hitchcock"
"Ridley Scott"
"Charles Chaplin"
"Francis Ford Coppola"
"Quentin Tarantino"
"Christopher Nolan"
"Steven Spielberg"
"Andrew Stanton"
"Christopher Nolan"
"Florian Henckel von Donnersmarck"
"Billy Wilder"
"Stanley Kubrick"
"Anthony Russo"
"Stanley Kubrick"
"Charles Chaplin"
"Billy Wilder"
"Bob Persichetti"
"James Cameron"
"Quentin Tarantino"
"Christopher Nolan"
"Sam Mendes"
"Stanley Kubrick"
"Park Chan-wook"
"Lee Unkrich"
"Milos Forman"
"John Lasseter"
"Wolfgang Petersen"
"Mel Gibson"
"Anthony Russo"
"Todd Phillips"
"Hayao Miyazaki"
"Gus Van Sant"
"Makoto Shinkai"
"Sergio Leone"
"Akira Kurosawa"
"Rajkumar Hirani"
"Stanley Donen"
"Nadine Labaki"
"Darren Aronofsky"
"Elem Klimov"
"Lee Unkrich"
"Richard Marquand"
"Michel Gondry"
"Stanley Kubrick"
"Thomas Vinterberg"
"Quentin Tarantino"
"Akira Kurosawa"
"David Lean"
"Billy Wilder"
"Orson Welles"
